Open,High,Low,Close,Adj Close,Volume
12.347000122070312,12.483719825744629,12.105000495910645,12.476999282836914,12.476999282836914,12761965
12.480999946594238,12.586000442504883,12.427069664001465,12.57800006866455,12.57800006866455,8353281
12.579000473022461,12.589739799499512,12.405740737915039,12.498000144958496,12.498000144958496,6750057
12.496000289916992,12.544000625610352,12.401999473571777,12.5339994430542,12.5339994430542,5076500
12.53600025177002,12.600000381469727,12.517099380493164,12.565999984741211,12.565999984741211,6104728
12.566010475158691,12.677999496459961,12.543000221252441,12.644000053405762,12.644000053405762,6984770
12.641000747680664,12.6589994430542,12.486139297485352,12.512999534606934,12.512999534606934,4949685
12.91681957244873,13.088000297546387,12.88757038116455,13.02299976348877,13.02299976348877,15488863
13.02299976348877,13.219999313354492,13.019940376281738,13.12700080871582,13.12700080871582,8812744
13.12700080871582,13.213000297546387,13.050999641418457,13.12299919128418,13.12299919128418,6985748
13.122349739074707,13.141000747680664,12.918179512023926,12.98900032043457,12.98900032043457,6056721
12.988000869750977,13.085000991821289,12.967999458312988,13.027000427246094,13.027000427246094,4887249
13.027990341186523,13.188000679016113,13.016000747680664,13.119000434875488,13.119000434875488,7090979
13.117999076843262,13.185999870300293,13.074000358581543,13.171000480651855,13.171000480651855,5066363
12.899999618530273,12.982999801635742,12.63955020904541,12.639989852905273,12.639989852905273,12994795
12.63949966430664,12.798999786376953,12.621000289916992,12.794000625610352,12.794000625610352,6029757
12.793499946594238,13.005999565124512,12.779000282287598,12.975000381469727,12.975000381469727,6276364
12.977499008178711,13.167999267578125,12.925000190734863,13.096000671386719,13.096000671386719,5625902
13.095199584960938,13.128999710083008,13.039999008178711,13.092999458312988,13.092999458312988,5080029
13.093999862670898,13.321001052856445,13.072999954223633,13.245050430297852,13.245050430297852,7615809
13.244479179382324,13.29949951171875,13.17199993133545,13.207000732421875,13.207000732421875,5056441
13.277000427246094,13.656000137329102,13.144999504089355,13.163999557495117,13.163999557495117,20596446
13.163000106811523,13.461999893188477,13.153999328613281,13.375,13.375,12753460
13.37700080871582,13.410989761352539,13.177900314331055,13.26201057434082,13.26201057434082,7887206
13.261999130249023,13.350000381469727,13.196409225463867,13.346000671386719,13.346000671386719,5507734
13.346000671386719,13.357000350952148,13.210000991821289,13.224000930786133,13.224000930786133,4880847
13.224000930786133,13.255498886108398,13.108999252319336,13.188499450683594,13.188499450683594,5614656
13.199000358581543,13.204999923706055,13.102999687194824,13.128999710083008,13.128999710083008,4373840
12.550000190734863,12.670000076293945,12.45199966430664,12.539999961853027,12.539999961853027,16938274
12.541250228881836,12.580999374389648,12.276269912719727,12.309000015258789,12.309000015258789,9772465
12.309999465942383,12.336000442504883,12.230100631713867,12.239500045776367,12.239500045776367,6702769
12.23799991607666,12.281000137329102,12.173999786376953,12.230380058288574,12.230380058288574,6541592
12.230999946594238,12.273000717163086,12.112000465393066,12.121000289916992,12.121000289916992,6354544
12.119999885559082,12.194000244140625,12.080999374389648,12.094999313354492,12.094999313354492,7608741
12.094999313354492,12.109999656677246,12.022000312805176,12.07800006866455,12.07800006866455,8574188
12.074999809265137,12.124320030212402,11.579999923706055,11.663000106811523,11.663000106811523,18114806
11.66100025177002,11.680999755859375,11.408120155334473,11.571499824523926,11.571499824523926,11234205
11.571000099182129,11.694990158081055,11.516000747680664,11.523500442504883,11.523500442504883,8718422
11.523000717163086,11.572000503540039,11.446000099182129,11.565000534057617,11.565000534057617,5600292
11.564000129699707,11.808000564575195,11.561800003051758,11.69909954071045,11.69909954071045,8820883
11.701000213623047,11.802499771118164,11.658159255981445,11.70300006866455,11.70300006866455,8765679
11.70300006866455,11.781000137329102,11.655000686645508,11.669989585876465,11.669989585876465,5845253
11.600000381469727,11.691999435424805,11.282999992370605,11.361760139465332,11.361760139465332,14467887
11.36050033569336,11.534440040588379,11.324270248413086,11.510000228881836,11.510000228881836,10303230
11.512999534606934,11.758999824523926,11.508000373840332,11.675000190734863,11.675000190734863,9966094
11.67300033569336,11.845999717712402,11.645999908447266,11.687999725341797,11.687999725341797,8503300
11.690000534057617,11.767999649047852,11.651399612426758,11.724130630493164,11.724130630493164,6227047
11.7160005569458,11.739999771118164,11.41200065612793,11.494000434875488,11.494000434875488,8341431
11.494000434875488,11.605999946594238,11.4660005569458,11.586000442504883,11.586000442504883,5106303
11.579000473022461,11.734999656677246,11.373000144958496,11.444000244140625,11.444000244140625,12873444
11.444999694824219,11.558989524841309,11.344999313354492,11.548999786376953,11.548999786376953,7278425
11.548999786376953,11.616999626159668,11.46300983428955,11.47424030303955,11.47424030303955,5791371
11.473999977111816,11.59000015258789,11.454000473022461,11.55150032043457,11.55150032043457,4142881
11.552000045776367,11.638999938964844,11.482000350952148,11.619719505310059,11.619719505310059,5805834
11.623000144958496,11.635000228881836,11.484999656677246,11.541999816894531,11.541999816894531,6195491
11.541000366210938,11.592000007629395,11.494999885559082,11.50100040435791,11.50100040435791,3823498
11.035360336303711,11.336519241333008,10.812999725341797,11.14999008178711,11.14999008178711,22272792
11.149999618530273,12.019999504089355,11.133000373840332,11.753999710083008,11.753999710083008,15512851
11.774999618530273,12.07798957824707,11.691999435424805,11.709010124206543,11.709010124206543,12192590
11.709010124206543,11.97799015045166,11.698999404907227,11.954440116882324,11.954440116882324,7732105
11.954999923706055,12.055000305175781,11.83799934387207,11.841010093688965,11.841010093688965,7873145
11.843500137329102,12.032990455627441,11.836000442504883,11.949999809265137,11.949999809265137,9134298
11.949999809265137,12.01200008392334,11.888999938964844,11.958000183105469,11.958000183105469,7233358
